receiver.0.panel_rotation ,0 ,deg ,Receiver panel azimuthal orientation
receiver.0.peak_flux ,1000 ,kW/m2 ,Allowable peak flux
receiver.0.piping_loss ,1.989 ,MW ,Receiver piping loss
receiver.0.piping_loss_coef ,10.2 ,kW/m ,Receiver piping loss coefficient
receiver.0.piping_loss_const ,0 ,kW ,Receiver piping loss constant
receiver.0.power_fraction ,1 ,none ,Multi-receiver power fraction
receiver.0.q_rec_des ,670 ,MW ,Design-point thermal power
receiver.0.rec_aspect ,1.2238 ,none ,Receiver aspect ratio (H/W)
receiver.0.rec_azimuth ,0 ,deg ,Receiver orientation azimuth
receiver.0.rec_cav_aph ,0 ,m ,Cavity aperture height
receiver.0.rec_cav_apw ,0 ,m ,Cavity aperture width
receiver.0.rec_cav_apwfrac ,1 ,none ,Cavity aperture width fraction
receiver.0.rec_cav_blip ,0 ,none ,Cavity bottom lip fractional height
receiver.0.rec_cav_cdepth ,-0.25 ,none ,Cavity absorber centroid aperture offset
receiver.0.rec_cav_rad ,8 ,m ,Cavity active surface radius
receiver.0.rec_cav_tlip ,0 ,none ,Cavity top lip fractional height
receiver.0.rec_diameter ,17.65 ,m ,Receiver diameter
receiver.0.rec_elevation ,0 ,deg ,Receiver orientation elevation
receiver.0.rec_height ,21.6 ,m ,Receiver height
receiver.0.rec_name ,Receiver 1 , ,Receiver template name
receiver.0.rec_offset_reference ,Tower ,none ,Receiver offset reference
receiver.0.rec_offset_x ,0 ,m ,Receiver positioning offset - X axis
receiver.0.rec_offset_x_global ,0 ,m ,Receiver global positioning offset - X axis
receiver.0.rec_offset_y ,0 ,m ,Receiver positioning offset - Y axis
receiver.0.rec_offset_y_global ,0 ,m ,Receiver global positioning offset - Y axis
receiver.0.rec_offset_z ,0 ,m ,Receiver positioning offset - Z axis
receiver.0.rec_offset_z_global ,0 ,m ,Receiver global positioning offset - Z axis
receiver.0.rec_type ,External cylindrical ,none ,Receiver type
receiver.0.rec_width ,17 ,m ,Receiver width
receiver.0.snout_depth ,1.5 ,m ,SNOUT depth
receiver.0.snout_horiz_angle ,120 ,deg ,Horizontal SNOUT angle
receiver.0.snout_vert_bot_angle ,20 ,deg ,Vertical SNOUT bottom angle
receiver.0.snout_vert_top_angle ,20 ,deg ,Vertical SNOUT top angle
receiver.0.therm_eff ,0.946435 ,none ,Receiver calculated thermal efficiency
receiver.0.therm_loss ,35.931 ,MW ,Design-point thermal loss
receiver.0.therm_loss_base ,30 ,kW/m2 ,Design point receiver thermal loss
receiver.0.therm_loss_load ,1'0'0'0; ,none ,Load-based thermal loss adjustment
receiver.0.therm_loss_wind ,1'0'0'0; ,none ,Wind-based thermal loss adjustment
receiver.0.user_flux_profile ,1'1'1'1'1;1'1'1'1'1;... (truncated) ,none ,User flux profile data
solarfield.0.accept_max ,180 ,deg ,Maximum solar field extent angle
solarfield.0.accept_min ,-180 ,deg ,Minimum solar field extent angle
solarfield.0.az_spacing ,2 ,none ,Azimuthal spacing factor
solarfield.0.class_name ,Solar Field ,none ,Class name
solarfield.0.des_sim_detail ,Representative profiles ,none ,Optimization simulations
solarfield.0.des_sim_ndays ,4 ,none ,Number of days to simulate
solarfield.0.des_sim_nhours ,2 ,none ,Simulation hour frequency
solarfield.0.dni_des ,1111 ,W/m2 ,Design-point DNI value
solarfield.0.hsort_method ,TOU-weighted power ,none ,Heliostat selection criteria
solarfield.0.interaction_limit ,100 ,helio-ht ,Heliostat shading interaction limit
solarfield.0.is_multirec_powfrac ,false ,none ,Specify multi-receiver power fractions
solarfield.0.is_opt_zoning ,true ,none ,Enable optical layout zone method
solarfield.0.is_prox_filter ,false ,none ,Apply proximity filter
solarfield.0.is_sliprow_skipped ,false ,none ,Offset slip plane for blocking
solarfield.0.is_tht_opt ,true ,none ,Optimize tower height
solarfield.0.layout_data , , ,Layout data in string form
solarfield.0.layout_method ,Radial Stagger ,none ,Layout method
solarfield.0.max_zone_size_az ,1 ,tower-ht ,Max. optical layout zone size - azimuthal
solarfield.0.max_zone_size_rad ,1 ,tower-ht ,Max. optical layout zone size - radial
solarfield.0.min_zone_size_az ,0.1 ,tower-ht ,Min. optical layout zone size - azimuthal
solarfield.0.min_zone_size_rad ,0.1 ,tower-ht ,Min. optical layout zone size - radial
